P_PrimaryAccount,P_DebitAccount
10110005642236,10041000092551
10181002413748,10110017403090
10021000969758,10110015742796
10021000969790,10041000368613
10021000970079,10041000093245
10022000970632,10041000294165
10100610312777,10041000093302
10021000970657,10042000093443
10052000357996,10041000097683
10110009766049,10041000093559
10021000970863,10100610682039
10022000970863,10042000093898
10110004954004,10041000093898
10110004954038,10041000693788
10021000970921,10041000094300
10101000837864,10110007061203
10100616481402,10042050094698
10110012656007,10041000094698
10110014662615,10110005150446
10110012655553,10110010038612
10110012663011,10042040094698
10101010838136,10042060094698
10102000838136,10041000430843
10110004694592,10110000212902
10110003336393,10041000094946
10100615725825,10041000303693
10021000971846,10041000095174
10021000971879,10042000095174
10021000972059,10100610899948
10102000838359,10041000648790
10021000988709,10041000539049
10021000972224,10041000095729
10100616948962,10042010095778
10022000972240,10041000095778
10022000972430,10041000096156
10021000972455,10110021890920
10042000832022,10041000096594
10021000972901,10110008747388
10022000972901,10041000096669
10110003819430,10042000096693
10102000930172,10110007740343
10022000973321,10041000096693
10021000973321,10041000284398
10100610682179,10041000096750
10110028231813,10042000096750
10031000693556,10052000291856
10100614464483,10051000291856
10021000973412,10100612594950
10110004257093,10042000097048
10110006320261,10100610954107
10100617090327,10041000282111
10022000986596,10041000097477
10110022235778,10042010097618
10022000973453,10041000097618
10100618587263,10041000097667
10021000973453,10100613325081
10110009257452,10041000097725
10110002369767,10041000371393
10032000810002,10042010097824
10102000838987,10041000097808
10021000973792,10041000097865
10022000973909,10041000098517
10110006743579,10041000098848
10100610390047,10110002918779
10021000974345,10041000099127
10100614650016,10042000952747
10021000974386,10041000099374
10031000645622,10042000099374
10101000839142,10042000099630
10110008064552,10041000099630
10102000839191,10042000099804
10021000974485,10042000099903
10022010974485,10042000099952
10110006717813,10041000099994
10021000974782,10041000276972
10101000839258,10041000277160
10110015863725,10041000379719
10110005985338,10100616046932
10031010322917,10110015137799
10021000975292,10100617007487
10101000839381,10051000085787
10102010839381,10042000277715
10111000107623,10041000277715
10031000049650,10100615308416
10052000267104,10042000277970
10031000050427,10110011172055
10032000050427,10100611657261
10021000975862,10042010278093
10100619736380,10041010278093
10022000976621,10041000278465
10100615388715,10041000278606
10100614612255,10042000278671
10021000977462,10110001741628
10110005632781,10100611275833
10022000977678,10110009955667
10021000977678,10110000902759
10021000977553,10110026312748
10101000840033,10031000430926
10022000977926,10100616789010
10021000977926,10042010288571
10101000840132,10041000279745
10032000937292,10042000619445
10110021992981,10042000280495
10041000020925,10041000280784
10042000020925,10100612242048
10102000840306,10041000743492
10021000978650,10100618295420
10100611078724,10100619722349
10110009512799,10041000281105
10021000978759,10042000281238
10101000840322,10041000281345
10342020088583,10042010281550
10032000140483,10100618103442
10101000840355,10052000441980
10102000840355,10051000441980
10021000978957,10100617449820
10052000426247,10041000282020
10100613111903,10042000282400
10101000840439,10041000290379
10110025064480,10100614067542
10110013294121,10100617848351
10100619231317,10110019921917
10021000979674,10042000283655
10022000979757,10041000283655
10022010979757,10042000283812
10110020589937,10041000283812
10101000840637,10041000284372
10110009026261,10100616371751
10102010840686,10042000284414
10101000840686,10110000693473
10110000799395,10100619728221
10021000979898,10041000284927
10021000980045,10042000284927
10031000003038,10041000284943
10110007646565,10110008457657
10110003465184,10042000284992
10031000464099,10041000284992
10031000319491,10041000285205
10021000980920,10100616610810
10110017882129,10041000285247
10021000981233,10041000285288
10252000139501,10110015549944
10251000139501,10041000285353
10021000981340,10110022780104
10022000981365,10042000285353
10110017290687,10110011085489
10110011465541,10042010285395
10110011465574,10110007218043
10021000982090,10041000285395
10021000982124,10042010285478
10022000982124,10041000286112
10021000982496,10110001612381
10100614969879,10100614514931
10022000982900,10100613720232
10021010983148,10042010793059
10022000983148,10042000286997
10021000983007,10110022831501
10022000983296,10041000287136
10101000842021,10100616667398
10102010842021,10100619714361
10101000842054,10041000287748
10021000983585,10110000524546
10022010983734,10110014137428
10022000983916,10041000287805
10021000983932,10041000287896
10110001486208,10041000287904
10021000984120,10041000287912
10031010625848,10042010288167
10031000625848,10110005962626
10021000984393,10041000288274
10100611603570,10042000288332
10021000984658,10110002819480
10031000304378,10041000288787
10021000984732,10042000288811
10100613835246,10041020288837
10021000984914,10041000288837
10021020984914,10100611462142
10110021339456,10042000863795
10110016984660,10110003394053
10110016984629,10042000288894
10021000985879,10110007065352
10100610939124,10110010540468
10110006392658,10100619491812
10022000986125,10041000288894
10102000843268,10100619491820
10101000843268,10052000288647
10021000986398,10110013548708
10022010986638,10041000289017
10021000986638,10041000289231
10101000843383,10042000289231
10102000843383,10041000289306
10110007434145,10100613689148
10110021533389,10041000289835
10110008931578,10041000290106
10110008931693,10042000290106
10101000843557,10042000290312
10021000986943,10041000290312
10022000986943,10110015368105
10021000987073,10110020683029
10021000987271,10041000290700
10110011670413,10042000290700
10110011684406,10041010301549
10100613538576,10041000335133
10021010987537,10041000291534
10110021092048,10052000324673
10110013690336,10110005426903
10102010843904,10042000292136
10021000987735,10041000292136
10100611576057,10110011865724
10021000987966,10042000292466
10110017513211,10041000322420
10022000988196,10100613043742
10021000988238,10041000292649
10021000988279,10042000308916
10100613516887,10110001330422
10100611894047,10041000336008
10021000988345,10041000293290
10021000988485,10042000293423
10022000988527,10042000293498
10110010204099,10041000293704
10100612564821,10110012935104
10110010369736,10110025845862
10110010369827,10100611377340
10021010989145,10042000294181
10110009475245,10042000294306
10021000989285,10042000294439
10021000989475,10042000294504
10110002595221,10110008702003
10110013621547,10110007782329
10110008904559,10102000547778
10110006332134,10110002362002
10042000337246,10110002743920
10110016311567,10041000295360
10052000354324,10041000304048
10100612479665,10041000295675
10100611952019,10041000295691
10031020040113,10110020392415
10021000990598,10042000295766
10051000130245,10041000295832
10110020767673,10041010295832
10101000845214,10110008489189
10102000845214,10142000520882
10021000991059,10041000296509
10110010906172,10110011962265
10110002245645,10110002206316
10031000454249,10042000296509
10100611104322,10110010587873
10021000991489,10041000310722
10100616063598,10042000296772
10021000991554,10041000297184
10021000991562,10110020037622
10032010081141,10110020810218
10042000976100,10110005241260
10100618240079,10100619529231
10031000875542,10041000297283
10021000995563,10100613721446
10100618101388,10100613721420
10021000992297,10041000297366
10022000992370,10110020826727
10021000992370,10042000298059
10021000992396,10041000297952
10022000992396,10110004749495
10021000992404,10110008687378
10100615141973,10041000298943
10022000992420,10042000299123
10031000465138,10041000299149
10022010992701,10110005755855
10021000992701,10041000299388
10021000992735,10042000300103
10022000992768,10041000300103
10110022950095,10041000300186
10110012756062,10041000300632
10110015842232,10231000235846
10032020421503,10110002972107
10031000421503,10042000301077
10110007996911,10112020032607
10022000993030,10111000032607
10110004450755,10021000523688
10021000993238,10100610543611
10031000029272,10042000301762
10022000994434,10110004513677
10021000994434,10100616174114
10021000993758,10100612633238
10110013161536,10110023810678
10110010861666,10042000302349
10021010994103,10041000302497
10021000994095,10042000302448
10031020040709,10110003184694
10101000846501,10042010302687
10102000846675,10042000303065
10022000994731,10100613280047
10021000994756,10042000303537
10041000040790,10041000303784
10102000868844,10041000303800
10101000847053,10100618405243
10110007632144,10041000304113
10021000995746,10011000294538
10102020847095,10242020228445
10110019341355,10041000312140
10022000995928,10100613342524
10042010375428,10100615350053
10042020375428,10110003360930
10042030375428,10100613232980
10100619125238,10110005811062
10100616113039,10100613232972
10100613868890,10110000733303
10100617309610,10110000733105
10100612190791,10110000733402
10100616309058,10110000733196
10042000375428,10042000304980
10100612190668,10042010304980
10100619205725,10100613590601
10031000025593,10041000353771
10110003693520,10100616191159
10022010996595,10041000390864
10110005422373,10042000305797
10021000997056,10041000305797
10031000008763,10041000305813
10021000997221,10110001004365
10022000997445,10100614169876
10022000997692,10100611394295
10110017540313,10100613239068
10021000997726,10041000306704
10032000794818,10100613461910
10110001904374,10041000306738
10110004158390,10042000306829
10032000305748,10101010744342
10031000305748,10042000307025
10100612174787,10342000058263
10021000998450,10041000307256
10101000848416,10042000307405
10102000848416,10102000745331
10021000998591,10112000049171
10110009332917,10102020745331
10022000998682,10102060745331
10102010848499,10101010745331
10102000848499,10041000307546
10100615730908,10100610625020
10110012894814,10041000308320
10110019810516,10041000308734
10110008234932,10041000308965
10021000999995,10042000308965
10031000000208,10041000309179
10031000000224,10042000309179
10031010000315,10041000309138
10110019735960,10100613180650
10100616016299,10102000751388
10100616016307,10101000751453
10110006041958,10101000751479
10032000000588,10041000309435
10032030000596,10110001144781
10032020000596,10041000309492
10031000000596,10042000309492
10031000000612,10110008027864
10031000000661,10100619559550
10100611081108,10041000420000
10032000000810,10041000388082
10031000000810,10110024815122
10032000000877,10101000752899
10031000747535,10102000752899
10031000001214,10110018477358
10031010001412,10110012966380
10021000948174,10042000310425
10022000948174,10042000310532
10102000848911,10100612667053
10101000848911,10100612667319
10032010001586,10042000310847
10032000001586,10100610416974
10110008479065,10042000310995
10031000001750,10102000756098
10032000002105,10181002058261
10031000002105,10042000311183
10110028254633,10101000759183
10110028254708,10100615663927
10032000002535,10041000312058
10101000849042,10041000312108
10102000849042,10110023951142
10031000002766,10041000312173
10041010879072,10110023951159
10032000002980,10110003274123
10110018020646,10051000021378
10031000003467,10041000312256
10101000849240,10110015643309
10032000870709,10042000312249
10031000870709,10100610248336
10110003661089,10112010108662
10032000004069,10111000108662
10031000004192,10042000312942
10032020004192,10041000610527
10032070004192,10100615704473
10110005874581,10101000763110
10032000004291,10102010763110
10011000337642,10042000313262
10012000337642,10041000313361
10110010099259,10110001601749
10100611748615,10110007742182
10031000004697,10042000317289
10042000044875,10041000313981
10110004901708,10051000028571
10101000849976,10101000767178
10031000006098,10052010028571
10031000005991,10052000028571
10100619246836,10100611946755
10110007876907,10102010768499
10110007596232,10112010062315
10110002777514,10101000769315
10110007443294,10102010769570
10031000446641,10110004870721
10032000446641,10110008775389
10031000006452,10110008776718
10110020812867,10041000314989
10100610215723,10110000933747
10031000006619,10102010769711
10031000006726,10041000315044
10032000006908,10100611453612
10031000006908,10041000315093
10031000007062,10041000315234
10110013024122,10110021316694
10110007365281,10042000315739
10032010007195,10041000315754
10031000007302,10110009256496
10101000850586,10112000081570
10031000007906,10102010771881
10031000008144,10042010316091
10100617881675,10102010772509
10110021403104,10101000772509
10110005358528,10101000773465
10110001385053,10102000773465
10110001098979,10041000316349
10110000460378,10102000774109
10110025600085,10101010774232
10110000261149,10110006282297
10100612488716,10041000316679
10110012431674,10100617172497
10110004070272,10042000316703
10032000009258,10041000316703
10031000009258,10101000775304
10032000009530,10101000931105
10032000009746,10042000317271
10031000010082,10101000777789
10110014933321,10110019071630
10110027349376,10042000317339
10032010630749,10110012618296
10031000630749,10101000778811
10031000010454,10102000778811
10031000010512,10041000317628
10032000010512,10110008302853
10032000010579,10041000317594
10031000010579,10102000781104
10032000010603,10102030781138
10101000851691,10101000781138
10110011639244,10100611231422
10041000451823,10110009926809
10031000011106,10110009191933
10031000011205,10041000318402
10100611675867,10100616258362
10032000011304,10110020172809
10032000011619,10041000318592
10031000011478,10042000431205
10100610602144,10101000782912
10031000011841,10042000318816
10102000852228,10041000319053
10031000011965,10041000085829
10031000012302,10102000784058
10031000012161,10101000784058
10032000012179,10110023055654
10100614437927,10101000749325
10031000012450,10102000784405
10100617767650,10041000319392
10100615332069,10110005216494
10102000852459,10101000785832
10031000013029,10101000786343
10110005411780,10101000786582
10031000013128,10041000321075
10041000786152,10042000321075
10042000786152,10041000321133
10110022108744,10042000321133
10031000013490,10041000368019
10032010013631,10101000786699
10110023195120,10101000787929
10032000013771,10041000321455
10110023195138,10042000321455
10031000013821,10100616676696
10110022109668,10042000321984
10110022404358,10042000322065
10101000852772,10042000322206
10110006499727,10110013847928
10032000014175,10110021903509
10102000852996,10110021903517
10100612488773,10041000322495
10110020420562,10102010791988
10031000014308,10101000791988
10100616351639,10100614504791
10101000853226,10041000323089
10031000015040,10100614401071
10032000015040,10102000794941
10032000015198,10101000794941
10100610137695,10102000795963
10031000015198,10101000795963
10100611481647,10041000323816
10031000015529,10100619262841
10031000015537,10110012861102
10031000015719,10041000817684
10032000015750,10042000324277
10031000015800,10101000798595
10100616132195,10051000105510
10110019385527,10100618956948
10110010096750,10041000324616
10110004461414,10042000324616
10031000016287,10051000018333
10031000444281,10102000801134
10032000444281,10101000801134
10032000016329,10041000325126
10100617116916,10042000329250
10031000016832,10102000802058
10032000016832,10101000802140
10042000002683,10041000325548
10032010017319,10041000325654
10031000017376,10101000802470
10032000017525,10110019258211
10110022537058,10102010802470
10032010018333,10102000802470
10110021613108,10041000325837
10101000854331,10041000325852
10102000883553,10100613544053
10031010018937,10041000325985
10100613160504,10042000325985
10102000854448,10110006899298
10031000019208,10110006158398
10101000854489,10102000805028
10110006944508,10041000326660
10110006944516,10041000326926
10100618567950,10100617933856
10100618138604,10110004585535
10032000020099,10041000327338
10031000020099,10042000327577
10031000020198,10101000806695
10102000854786,10102000806695
10031000020453,10110003601762
10110005468616,10110008338774
10110008631244,10100612423689
10110008631251,10101000808857
10032000585042,10110003052727
10101000854893,10041000328468
10102000854893,10041000328492
10100613518347,10110001213891
10031000020750,10051000013391
10052000374975,10110004941456
10110019077645,10021000832113
10031000094912,10022000832113
10032010020974,10042000328864
10031000021469,10041000328864
10110004552097,10101000809814
10031000022012,10102000809814
10110008465551,10041000329359
10101000855486,10100618437238
10102000917187,10041000372664
10101000855668,10041000329425
10032000023234,10042000329425
10100614428645,10041000330183
10100619204397,10041010330183
10032000023549,10110001702026
10032000023580,10110015272711
10031000023580,10102000811752
10031000023663,10102000812016
10110023943982,10041000331413
10110023943966,10041000331777
10031000024158,10041000331850
10110009072471,10041000331900
10110025728936,10041000331991
10101000856013,10042000331991
10101000941393,10042000332031
10031000024661,10100615401088
10110024026506,10100616322614
10031000025635,10041000332130
10100612717346,10110006767313
10110001644624,10110009434085
10110019688912,10111000099010
10101000856039,10041000988733
10031000025239,10110005850037
10100613378221,10041000332650
10100610273151,10042000332924
10110012505659,10102010819011
10031000396382,10101000819011
10100614017125,10041000497974
10110005920012,10102010819383
10031000026237,10102000819722
10031000026567,10101000819722
10100616457865,10051000026245
10101000884841,10110018661407
10031000026765,10101000820431
10032010026898,10110019362435
10031000027128,10042000333385
10031000027375,10041000333385
10041000367680,10100615050299
10110025027990,10100615050752
10110018679557,10041000333534
10100619412487,10101000822031
10101000857094,10041000364539
10100612048866,10041000333757
10031000028001,10101000823229
10042000981498,10100612542728
10031000028076,10231000311308
10031000028324,10042000945345
10031000028209,10100618334005
10032000028274,10100610649277
10031000028456,10102000824318
10032000028456,10041000334102
10031000028373,10041000334078
10032000028225,10102000824664
10031000028555,10100617024474
10032000028555,10041000334490
10032000028571,10102010826057
10100612933786,10102000826057
10110002083095,10100615634605
10100619436379,10102010826123
10100618856726,10101000826123
10100616846208,10100615627369
10031000029066,10100615627245
10110003680568,10041000334755
10031000029744,10110008856056
10031000029942,10110005641758
10031000030221,10110023884343
10100616854194,10102000827915
10032000047415,10042000921734
10031000030916,10101000827915
10031000043562,10102000828202
10110028160392,10101000828202
10110027703903,10041000334995
10100616642193,10110009020090
10031000031708,10041000335067
10031000084897,10100616934186
10100615115027,10110028102576
10110002603058,10042000335067
10032000032169,10101000829366
10100619606989,10102010829366
10031000032367,10102010830463
10031000032631,10102020830463
10110013120037,10100611667518
10031000032896,10041000335315
10031000032979,10052000015180
10110006039556,10100611721992
10032000033738,10110005133566
10031000034140,10042010335380
10031000034256,10102000832113
10031010036392,10102010832113
10031000034348,10041000335901
10100612578193,10100619297490
10031000034520,10042000336099
10110004713988,10041000336347
10101000858878,10052000451112
10100614260709,10042010336362
10110003084498,10110001767342
10031000034819,10041000336438
10110008753931,10042000336438
10032000034819,10110021542539
10031000034983,10102000834663
10032000034983,10112000086793
10032000034934,10100613407392
10110008198830,10041000336628
10110008198590,10102000835439
10032000035246,10102000835686
10102000859207,10102000835744
10100614160883,10042010337097
10031000035477,10102000836064
10100617593551,10110012896512
10032020035477,10042000337311
10100617593619,10042000337543
10041000656793,10100614413308
10101000899583,10101000839167
10031000035535,10102000839167
10032000035550,10042000337907
10031000035816,10041000339879
10031000035907,10110020277491
10100615086749,10041000339887
10101000972307,10110015698667
10110004007951,10041000338202
10102010859496,10041000338095
10101000859496,10101000840421
10102000859496,10042000338244
10031000036111,10042000355941
10031000036244,10102000840835
10101000859660,10101000841031
10102020859678,10041000338608
10110023838901,10102000841437
10031000036574,10041000338830
10051000076307,10042000338830
10101000859876,10110009825035
10102000859892,10042000338954
10031000037218,10042000338947
10032010823070,10101000842336
10110007672330,10041000339200
10101000860056,10101000843102
10032000040048,10102000843276
10032000037580,10101000843276
10042000842666,10112010058529
10100610992057,10110005090469
10101040860221,10110006046064
10032000037903,10041000339754
10110001805563,10100612646362
10100616376289,10101000845016
10110009520271,10041000339929
10110009520248,10041000339804
10031000043794,10102000845321
10110002184356,10101000845321
10032000043794,10041000339861
10031000038422,10041000370486
10110006641526,10042000370486
10042000529669,10102030845461
10101000744409,10042010340331
10100611017680,10102000846592
10100616329692,10101000846592
10110009630757,10110019858267
10100619204132,10110004471397
10032000039081,10101000847681
10031000039081,10110007862857
10031000039180,10102030848440
10110005637350,10102040848440
10032000039412,10102010848440
10032000039438,10102050848440
10110022867471,10102020848440
10032000708909,10110023506078
10110002806123,10041000340885
10031000042010,10101000849620
10100617822240,10110003263944
10031000364034,10042010341081
10102000860734,10101000849729
10100619282211,10102010849794
10031000040014,10100615023338
10031000040097,10100619232539
10100610846147,10041000341404
10022000641613,10041000341412
10032000040360,10110004493557
10110021447499,10041000342014
10031000040493,10101000853754
10100616797427,10102000853754
10032000040584,10041000342154
10110007486947,10101000854042
10110012471688,10042000342725
10032000040642,10041000342725
10031000040667,10042000342733
10031000040675,10032040241489
10032000040675,10042000342931
10110012083079,10101000856468
10031000040683,10102000856468
10032000025890,10110001148816
10031000025890,10110016143051
10032000040865,10100619209537
10032000040873,10041000343517
10100613576667,10041000343657
10102000861104,10041000343673
10032000454033,10110018708281
10102010749358,10041000344242
10031000041202,10100612556389
10102000861161,10101000860015
10110010488007,10102000860015
10032010041426,10110003876067
10031000041483,10100612335420
10100616437925,10111000049874
10110005761440,10110014056412
10110005761242,10042000344507
10031000042465,10101000861963
10031000042655,10100610537860
10110025841754,10110020210641
10032000042721,10041000344895
10031000042788,10042000778084
10102000861716,10101000863506
10031010042952,10042000345116
10110007227051,10041000345116
10100610233791,10101000863969
10102010861831,10042000345132
10101000861831,10110015059191
10100610211102,10042010345231
10031000043844,10101000864843
10031000808923,10041000345413
10032000043877,10100618610180
10110008296816,10100618610131
10110008296832,10100611289396
10100614356952,10041000345496
10031000082099,10041000345736
10032000044180,10102000867010
10110026452189,10041000345801
10032000044198,10110000522839
10031000044198,10041000758060
10032000044248,10101000867358
10100614368981,10110016232961
10031000044354,10042000346023
10110012641868,10110019386244
10110000463091,10041000346023
10110000463125,10041000346098
10110000463059,10042000346122
10031010044792,10110015259338
10032000044792,10101000867861
10101000862292,10110006295059
10100616560320,10101000867879
10031000044925,10101000869123
10031000045088,10100613480365
10031000045120,10100614063269
10031000045443,10100614063285
10031000391367,10100611448737
10100613672938,10100614320693
10101000862607,10101000871384
10100610274290,10110010996801
10110009804568,10041000346932
10031000045641,10110013309416
10110003637154,10102010872531
10031000046011,10101000872531
10031000046029,10042000371666
10101000862862,10041000371666
10100610298463,10041000347369
10100610298471,10102000873802
10110001184399,10110010315630
10032000046201,10101000873802
10100615793013,10041000509471
10100617814171,10041000347674
10110015000443,10102000875047
10100610068759,10101000875047
10110006175103,10042010347757
10031000046722,10041000429407
10031000046748,10110022866465
10032000047209,10100614145439
10100613481207,10101000876367
10032000047258,10110003125309
10032000047357,10042000348037
10031000047423,10041000363622
10110007026263,10041000348045
10031000047704,10110012898336
10110009712126,10110000749028
10102000765982,10110006080097
10031000047829,10042000348276
10031000047902,10100614278313
10100613923315,10100616961965
10051000402511,10110003554615
10100615061676,10041000348441
10031000048421,10042000348540
10110015209697,10041000348664
10110005225925,10041000348680
10110001563964,10110000627000
10102020864074,10102010882928
10101010864074,10102000883405
10101000864074,10101000883405
10342010089938,10041000348813
10100616876312,10110012912301
10341000089961,10110015544234
10342000089961,10110007535503
10032000049205,10042000349134
10032000049262,10102000888230
10031000561191,10110020288688
10032000049312,10110010739995
10032000049379,10042000349613
10031000049551,10042010349696
10031000416586,10041000349720
10100613699063,10101000891630
10032000050088,10112000024067
10031000049957,10041000349753
10031000307694,10110004471181
10341000083428,10042000349894
10032000050278,10041000349894
10031000050278,10100614037776
10031000050377,10102010892547
10101000864876,10041000350082
10032000050823,10042000350082
10110005210844,10110001994060
10032000050989,10051000077750
10031000050955,10042010453290
10101000865295,10100617836869
10101000835785,10041000354886
10100618901548,10110001994029
10031000052183,10041000355537
10232000213579,10100618914939
10101000865535,10041000353268
10110011235357,10100612944924
10031000057406,10041000504860
10031000052639,10042010354761
10032000052662,10110017985757
10031000052662,10100610243527
10101000865782,10110004435103
10031000052951,10100615134044
10100611579028,10110011931211
10031000052894,10110020692681
10110021503507,10110009347550
10110016733604,10110019701574
10110016733505,10100618225369
10110005604343,10042010346510
10031000052860,10042010354894
10102000946418,10042010346478
10100619133414,10110022355303
10100619133455,10042010351833
10032000053066,10110009347527
10031000351486,10041000847277
10032000053165,10110004071692
10100614328654,10041000351817
10101000866129,10110022586808
10102000866129,10110006035570
10032000053488,10110008254112
10031000053488,10110017985799
10101000866137,10100611874205
10031000053678,10110004046587
10031000053751,10042010352062
10031000053785,10041000352989
10032010053801,10110022351120
10031000593517,10041000354803
10031000869065,10110022510931
10100618493579,10110001601988
10100618493587,10110022108025
10031000054023,10041000346205
10032010054023,10100618226391
10031000054189,10041000731802
10032000054213,10041000352377
10102000866392,10042010964288
10031000054387,10110022351153
10110001693225,10042010352484
10110026747828,10042020355552
10032000054437,10110020204099
10031000054460,10041000964288
10032000054460,10042020352484
10102030866459,10041000354738
10101000866459,10110004435301
10031000054494,10051000405977
10032010330761,10041000352047
10032000330761,10110008254138
10101000772129,10110019701350
10031000055186,10110004435376
10031000055319,10110004041968
10101000774612,10042010351999
10031000055624,10100613255155
10031000352286,10110004041950
10031000055715,10110006082739
10031000055855,10041000493122
10100618264772,10041010946491
10031000056085,10042010355552
10101000867028,10110010475772
10031000056192,10042010346445
10031000056267,10110011065333
10102000257915,10110013826831
10100613548252,10110003917010
10032000056606,10110003470481
10101000256248,10052010405977
10100610766279,10110003917184
10031000057372,10042010353003
10031000057612,10110022108017
10102010884049,10042010353318
10110014888459,10110015507702
10110004852703,10041000323196
10100613185154,10042000847277
10101000867671,10041000353219
10101010867705,10100613255262
10102000867705,10042010352393
10110008123390,10110004044244
10031010058693,10041000453290
10031000058891,10110011931278
10100619628413,10110008476087
10111000127381,10100615773130
10031000059022,10100618914962
10032000059113,10042010421552
10031000059311,10110015133699
10100611090992,10110003917036
10110007843964,10042010731828
10031000059402,10042010353284
10031000955419,10100618915662
10101000868091,10041000353433
10102010868166,10041000353375
10101000868166,10100613249380
10032010059931,10052010077750
10032000059766,10110005962030
10031000059816,10042000946491
10032000059816,10110008476111
10031000059865,10100617133010
10110002757086,10110004071718
10100610341370,10110004435277
10101000783654,10110004435053
10100619615097,10042010353235
10101000868687,10110006035596
10031000060756,10110012485506
10101000868703,10110005962006
10110027269525,10041000352096
10031000060889,10110022510899
10052000144956,10110015133731
10101000868737,10100618915704
10100614093217,10110004071676
10100610185777,10042010352120
10031000442012,10100611670306
10031000061465,10041000355602
10031000061960,10041000352369
10031000329060,10110004044251
10101000789768,10042010354837
10110013900057,10042010847277
10110000840637,10110010475814
10110009180183,10110004071635
10110007461163,10042010354860
10031000062976,10110004043840
10110007461171,10100618975633
10031000063321,10100611874056
10031000073155,10110023342789
10102000477075,10110019701525
10032000063503,10100617837594
10110006152466,10110004042040
10031000063719,10110019701384
10032010367177,10100618040644
10032000367177,10041000421560
10031000063842,10100616818991
10031000064063,10042010353169
10101000777110,10042010353466
10100619707936,10110020204065
10031000064543,10100611553460
10032000064543,10110013826864
10031000087999,10041000354852
10102000869933,10041000346312
10101010869933,10041000352443
10031000065094,10041000346270
10100613089463,10110012663474
10031000065524,10110022355279
10031000065532,10042010353201
10100614965968,10110004435392
10110015745781,10110004435038
10100617745516,10100615134002
10031000065771,10100616818702
10100619001918,10100617696883
10031000065805,10110003917044
